#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,Notional,NotionalCurrency,Notional(Base),NettingSet,CounterParty
SWAP_EUR,Swap,2036-02-11,20.016393,-262338.419047,EUR,-262338.419047,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CC_SWAP_EUR_USD,Swap,2026-02-05,10.000262,-23630731.574404,USD,-20871175.101115,EUR,100000000.00,USD,88322170.79,CPTY_A,CPTY_A
CC_SWAP_EUR_USD_RESET,Swap,2026-02-05,10.000262,-22162282.326026,USD,-19574208.847934,EUR,100000000.00,USD,88322170.79,CPTY_A,CPTY_A
FXFWD_EURUSD_10Y,FxForward,2026-03-01,10.066015,203000.105445,USD,179294.099844,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FX_CALL_OPTION,FxOption,2026-03-01,10.066015,288765.913389,USD,255044.323220,EUR,1100000.00,USD,971543.88,CPTY_A,CPTY_A
FX_PUT_OPTION,FxOption,2026-03-01,10.066015,85765.807944,USD,75750.223376,EUR,1100000.00,USD,971543.88,CPTY_A,CPTY_A
EUROPEAN_SWAPTION,Swaption,2038-10-01,22.652317,-3091455.973555,EUR,-3091455.973555,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
BERMUDAN_SWAPTION,Swaption,2038-10-01,22.652317,-3140640.266888,EUR,-3140640.266888,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CAP_USD,CapFloor,2026-02-09,10.011221,-14245.332068,USD,-12581.786520,EUR,1000000.00,USD,883221.71,CPTY_A,CPTY_A
FLOOR_USD,CapFloor,2026-02-09,10.011221,33545.632269,USD,29628.230627,EUR,1000000.00,USD,883221.71,CPTY_A,CPTY_A
CAP_EUR,CapFloor,2026-02-09,10.011221,-6881.951398,EUR,-6881.951398,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
FLOOR_EUR,CapFloor,2026-02-09,10.011221,78817.134537,EUR,78817.134537,EUR,1000000.00,EUR,1000000.00,CPTY_A,CPTY_A
BOND,Bond,2021-02-03,4.994783,12902649.282760,EUR,12902649.282760,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
Bond_Floating,Bond,2021-02-03,4.994783,10765048.489931,EUR,10765048.489931,EUR,10000000.00,EUR,10000000.00,,CPTY_C
EQ_CALL_SP5,EquityOption,2018-02-05,2.000262,203549.250229,USD,179779.116438,EUR,1664359.00,USD,1469998.00,CPTY_A,CPTY_A
EQ_PUT_SP5,EquityOption,2018-02-05,2.000262,-246850.031932,USD,-218023.306809,EUR,1664359.00,USD,1469998.00,CPTY_A,CPTY_A
EQ_FWD_SP5,EquityForward,2018-02-05,2.000262,43300.781703,USD,38244.190371,EUR,1664359.00,USD,1469998.00,CPTY_A,CPTY_A
EQ_CALL_LUFT,EquityOption,2018-03-01,2.066015,1872.588407,EUR,1872.588407,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_PUT_LUFT,EquityOption,2018-03-01,2.066015,1474.112931,EUR,1474.112931,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
EQ_FWD_LUFT,EquityForward,2018-03-01,2.066015,398.475476,EUR,398.475476,EUR,9486.00,EUR,9486.00,CPTY_A,CPTY_A
CPI_Swap,Swap,2021-07-19,5.449577,829604.503420,GBP,1021851.967328,EUR,10000000.00,GBP,12317338.72,CPTY_A,CPTY_A
YearOnYear_Swap,Swap,2021-07-19,5.449577,590271.224568,EUR,590271.224568,EUR,10000000.00,EUR,10000000.00,CPTY_A,CPTY_A
CDS,CreditDefaultSwap,2026-03-20,10.118070,804.693530,USD,710.722794,EUR,10000000.00,USD,8832217.08,CPTY_B,CPTY_B
